                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.45444,                0.28953,                0.95574,                0.98897,                0.98454,                0.99473,                0.88814,                0.53995,                0.23953,                 0.9054,              0.0094225,              0.0094225,              0.0094225
                     38,                0.45307,                0.28545,                0.95355,                0.99005,                0.98639,                0.99474,                0.88852,                0.54228,                0.24065,                0.90562,               0.009406,               0.009406,               0.009406
                     39,                0.45119,                0.28434,                0.95479,                0.99007,                0.98145,                0.99466,                0.88876,                0.54256,                0.23791,                0.89835,              0.0093895,              0.0093895,              0.0093895
                     40,                0.45208,                0.28174,                0.95253,                0.99127,                0.98145,                0.99469,                0.89195,                 0.5371,                0.23867,                0.89319,               0.009373,               0.009373,               0.009373
                     41,                0.44729,                0.28101,                0.94985,                0.99197,                0.98268,                0.99467,                0.88933,                0.53831,                0.23722,                0.89518,              0.0093565,              0.0093565,              0.0093565
                     42,                0.44815,                0.28075,                 0.9487,                0.99208,                0.98392,                0.99473,                0.89062,                 0.5348,                0.23319,                0.89527,                0.00934,                0.00934,                0.00934
                     43,                0.44513,                0.27906,                0.94686,                0.99187,                0.98454,                0.99463,                0.88982,                0.53605,                0.22972,                0.89332,              0.0093235,              0.0093235,              0.0093235
                     44,                0.44569,                0.27796,                0.94802,                0.98703,                0.98819,                0.99465,                0.89034,                 0.5329,                0.22955,                0.89114,               0.009307,               0.009307,               0.009307
                     45,                 0.4453,                0.27874,                0.94745,                0.98696,                0.98887,                 0.9946,                 0.8909,                0.53284,                0.22963,                 0.8915,              0.0092905,              0.0092905,              0.0092905
                     46,                0.43898,                0.27365,                0.94554,                0.98703,                0.98864,                0.99468,                0.88985,                0.53475,                0.22979,                0.89314,               0.009274,               0.009274,               0.009274
                     47,                0.43932,                0.27335,                0.94411,                0.98586,                0.98825,                0.99473,                0.89044,                0.53527,                0.23103,                0.89215,              0.0092575,              0.0092575,              0.0092575
                     48,                 0.4402,                0.27545,                0.94823,                0.98883,                0.98562,                0.99473,                0.89043,                0.53475,                0.22951,                0.89183,               0.009241,               0.009241,               0.009241
                     49,                0.43913,                0.27637,                0.94354,                0.98581,                0.98844,                 0.9947,                0.89134,                0.53505,                0.22821,                0.89071,              0.0092245,              0.0092245,              0.0092245
                     50,                 0.4412,                0.27306,                 0.9454,                0.98884,                0.98625,                0.99466,                 0.8938,                0.53309,                0.22819,                0.88746,               0.009208,               0.009208,               0.009208
                     51,                0.43576,                0.27259,                0.94415,                0.99041,                0.98578,                0.99473,                0.89453,                0.53207,                0.22539,                0.88641,              0.0091915,              0.0091915,              0.0091915
                     52,                0.42674,                0.26898,                0.94388,                0.99007,                0.98622,                0.99473,                0.89368,                0.53226,                0.22507,                0.88801,               0.009175,               0.009175,               0.009175
                     53,                  0.434,                0.26812,                 0.9473,                0.99007,                0.98625,                0.99471,                0.89361,                0.53274,                0.22403,                0.88942,              0.0091585,              0.0091585,              0.0091585
