                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.45199,                 0.2871,                0.95856,                0.98722,                0.98604,                 0.9944,                0.88776,                0.54222,                0.24023,                0.91889,               0.009439,               0.009439,               0.009439
                     37,                0.45287,                0.28682,                0.95977,                0.99613,                0.97943,                0.99472,                0.88677,                0.54002,                0.22637,                0.91647,              0.0094225,              0.0094225,              0.0094225
                     38,                0.44626,                0.28066,                0.95669,                0.99428,                 0.9816,                0.99474,                0.89067,                0.53027,                0.23229,                0.89922,               0.009406,               0.009406,               0.009406
                     39,                0.44656,                0.28306,                0.95296,                0.99694,                0.98096,                0.99479,                0.89081,                0.53133,                0.22401,                0.89962,              0.0093895,              0.0093895,              0.0093895
                     40,                0.44846,                0.28123,                0.95334,                0.99169,                0.98383,                0.99472,                0.88554,                0.53612,                0.22887,                0.90301,               0.009373,               0.009373,               0.009373
                     41,                0.44479,                0.27723,                0.95247,                0.99115,                0.98287,                0.99475,                 0.8874,                0.53232,                0.22684,                0.89931,              0.0093565,              0.0093565,              0.0093565
                     42,                0.44342,                0.27637,                0.95216,                0.99358,                0.98197,                0.99468,                0.89337,                0.52861,                0.22542,                0.89566,                0.00934,                0.00934,                0.00934
                     43,                0.43997,                0.27699,                0.94983,                0.99358,                0.98227,                 0.9947,                0.89446,                0.52645,                0.22273,                 0.8954,              0.0093235,              0.0093235,              0.0093235
                     44,                0.44001,                0.27677,                 0.9514,                0.99296,                0.98405,                0.99478,                0.89212,                0.53041,                0.21959,                0.90367,               0.009307,               0.009307,               0.009307
                     45,                0.43796,                0.27454,                0.95203,                  0.991,                0.98477,                0.99477,                0.89145,                0.53082,                0.22038,                0.90744,              0.0092905,              0.0092905,              0.0092905
                     46,                0.43733,                0.27548,                0.95174,                0.99384,                 0.9816,                0.99476,                0.89255,                0.53142,                0.21887,                0.90777,               0.009274,               0.009274,               0.009274
                     47,                0.43495,                0.27145,                0.95074,                0.99597,                0.98096,                0.99478,                0.89412,                0.53227,                0.22031,                0.90497,              0.0092575,              0.0092575,              0.0092575
                     48,                0.43288,                0.26957,                0.94911,                0.99484,                0.97948,                0.99473,                0.89349,                0.53089,                 0.2203,                0.90375,               0.009241,               0.009241,               0.009241
                     49,                0.43131,                0.26848,                0.94779,                 0.9967,                 0.9797,                0.99478,                0.89488,                0.52962,                0.21613,                0.90033,              0.0092245,              0.0092245,              0.0092245
                     50,                 0.4349,                0.27119,                 0.9474,                0.99714,                 0.9797,                0.99474,                0.89426,                0.52968,                 0.2154,                0.89914,               0.009208,               0.009208,               0.009208
                     51,                0.43037,                0.26794,                0.94762,                0.99591,                 0.9797,                0.99475,                0.89479,                0.52957,                 0.2146,                0.89873,              0.0091915,              0.0091915,              0.0091915
                     52,                0.43272,                0.26945,                0.94796,                0.99481,                0.98033,                0.99478,                0.89293,                0.53012,                0.21361,                0.89777,               0.009175,               0.009175,               0.009175
                     53,                0.42872,                0.26815,                0.94776,                0.99462,                0.98033,                0.99476,                0.89348,                0.53098,                0.21573,                0.89972,              0.0091585,              0.0091585,              0.0091585
                     54,                0.42495,                0.26592,                0.94796,                0.99503,                 0.9797,                0.99473,                 0.8952,                0.52974,                0.21483,                 0.8983,               0.009142,               0.009142,               0.009142
                     55,                 0.4243,                0.26659,                0.94428,                0.99458,                 0.9797,                0.99474,                0.89568,                0.52784,                0.21279,                0.89628,              0.0091255,              0.0091255,              0.0091255
                     56,                0.42664,                0.26694,                0.94319,                0.99507,                 0.9797,                0.99473,                 0.8963,                0.52737,                0.21192,                0.89525,               0.009109,               0.009109,               0.009109
                     57,                0.42238,                0.26422,                0.94165,                0.99741,                0.97884,                0.99471,                0.89691,                0.52792,                0.21555,                0.89575,              0.0090925,              0.0090925,              0.0090925
                     58,                0.42407,                0.26359,                0.94286,                0.99357,                0.98033,                0.99473,                0.89633,                0.52734,                 0.2182,                0.89531,               0.009076,               0.009076,               0.009076
                     59,                0.42107,                0.26072,                0.94349,                0.99294,                0.98201,                0.99475,                 0.8969,                0.52613,                0.21711,                0.89487,              0.0090595,              0.0090595,              0.0090595
                     60,                0.42296,                 0.2613,                0.94107,                0.99287,                0.98223,                0.99473,                0.89766,                0.52642,                0.21749,                0.89574,               0.009043,               0.009043,               0.009043
                     61,                0.41919,                0.26035,                0.94125,                 0.9942,                0.98096,                0.99473,                0.89635,                0.52628,                0.21516,                0.89607,              0.0090265,              0.0090265,              0.0090265
                     62,                 0.4173,                0.26171,                0.94291,                0.99421,                0.98063,                0.99475,                0.89658,                0.52621,                0.21437,                0.89653,                0.00901,                0.00901,                0.00901
                     63,                0.41569,                0.25746,                0.93835,                0.99338,                0.98223,                0.99473,                 0.8965,                0.52606,                0.21474,                0.89677,              0.0089935,              0.0089935,              0.0089935
                     64,                0.41728,                0.25876,                0.94215,                0.99346,                0.98223,                0.99472,                 0.8967,                 0.5268,                0.21437,                0.89724,               0.008977,               0.008977,               0.008977
                     65,                0.41473,                0.25666,                0.93887,                0.99529,                0.98033,                0.99473,                0.89671,                0.52646,                 0.2142,                0.89663,              0.0089605,              0.0089605,              0.0089605
                     66,                0.41614,                0.25626,                0.93949,                0.99615,                0.98033,                0.99474,                0.89659,                0.52621,                0.21364,                0.89594,               0.008944,               0.008944,               0.008944
                     67,                0.41079,                0.25448,                0.93836,                0.99678,                0.98081,                0.99477,                0.89571,                0.52692,                0.21374,                  0.896,              0.0089275,              0.0089275,              0.0089275
                     68,                0.41423,                 0.2562,                0.94059,                0.99695,                0.98033,                0.99477,                0.89623,                 0.5276,                0.21316,                0.89636,               0.008911,               0.008911,               0.008911
                     69,                0.41195,                0.25402,                0.93893,                0.99719,                0.98033,                0.99477,                0.89642,                0.52762,                0.21248,                0.89644,              0.0088945,              0.0088945,              0.0088945
                     70,                0.40786,                0.25599,                0.93627,                0.99742,                0.98058,                0.99477,                0.89679,                0.52723,                0.21159,                0.89516,               0.008878,               0.008878,               0.008878
                     71,                0.41591,                0.25514,                0.93911,                0.99742,                0.98026,                0.99477,                0.89606,                0.52716,                0.21139,                0.89437,              0.0088615,              0.0088615,              0.0088615
                     72,                0.41054,                0.25124,                0.93646,                0.99739,                0.98096,                0.99477,                0.89588,                0.52716,                0.21014,                0.89393,               0.008845,               0.008845,               0.008845
                     73,                0.41347,                0.25651,                0.93767,                0.99691,                0.98096,                0.99477,                0.89615,                0.52721,                0.21011,                0.89362,              0.0088285,              0.0088285,              0.0088285
                     74,                0.40968,                0.25427,                 0.9378,                0.99717,                0.98096,                0.99477,                0.89616,                 0.5272,                0.20987,                0.89332,               0.008812,               0.008812,               0.008812
                     75,                0.40653,                0.25042,                0.93894,                0.99677,                0.98042,                0.99478,                0.89641,                0.52708,                0.20917,                0.89296,              0.0087955,              0.0087955,              0.0087955
                     76,                0.40913,                0.25411,                0.93749,                0.99705,                0.98033,                0.99478,                0.89703,                0.52711,                0.20889,                 0.8927,               0.008779,               0.008779,               0.008779
                     77,                0.40593,                0.24998,                 0.9347,                 0.9979,                0.98033,                0.99478,                 0.8969,                0.52721,                0.20816,                0.89264,              0.0087625,              0.0087625,              0.0087625
                     78,                0.40615,                 0.2489,                0.93515,                0.99742,                0.97993,                0.99477,                0.89707,                0.52714,                0.20813,                0.89237,               0.008746,               0.008746,               0.008746
                     79,                0.40634,                0.24961,                0.93503,                0.99741,                0.97924,                0.99477,                0.89675,                0.52696,                0.20725,                0.89219,              0.0087295,              0.0087295,              0.0087295
                     80,                0.40462,                0.24825,                0.93512,                0.99806,                0.97893,                0.99477,                0.89742,                0.52675,                0.20715,                0.89198,               0.008713,               0.008713,               0.008713
                     81,                0.40482,                0.25376,                 0.9344,                0.99806,                0.97896,                0.99477,                0.89737,                0.52654,                 0.2076,                 0.8918,              0.0086965,              0.0086965,              0.0086965
                     82,                 0.4049,                0.25027,                0.93396,                0.99677,                 0.9793,                0.99475,                0.89733,                0.52639,                0.20744,                0.89176,                0.00868,                0.00868,                0.00868
                     83,                0.40527,                0.25429,                 0.9336,                0.99677,                0.98005,                0.99477,                0.89683,                0.52613,                0.20741,                0.89105,              0.0086635,              0.0086635,              0.0086635
                     84,                 0.4033,                0.25148,                0.93405,                0.99677,                0.97986,                0.99477,                0.89679,                0.52574,                 0.2075,                0.89069,               0.008647,               0.008647,               0.008647
                     85,                0.39744,                0.24852,                0.93329,                0.99677,                0.98017,                0.99477,                0.89601,                0.52537,                0.20716,                0.89036,              0.0086305,              0.0086305,              0.0086305
                     86,                0.40206,                0.24968,                0.93294,                0.99678,                 0.9806,                0.99476,                0.89675,                0.52504,                0.20765,                0.88996,               0.008614,               0.008614,               0.008614
                     87,                 0.4022,                0.24667,                0.93124,                0.99678,                0.98064,                0.99476,                0.89673,                0.52505,                0.20772,                0.88991,              0.0085975,              0.0085975,              0.0085975
                     88,                0.40231,                0.24801,                0.93316,                0.99677,                0.98046,                0.99475,                0.89711,                0.52489,                0.20769,                0.88978,               0.008581,               0.008581,               0.008581
                     89,                0.39779,                0.24766,                0.93047,                0.99677,                0.97975,                0.99477,                 0.8967,                0.52467,                0.20763,                0.88963,              0.0085645,              0.0085645,              0.0085645
                     90,                0.39728,                0.25096,                0.93263,                0.99742,                0.98017,                0.99477,                0.89675,                0.52456,                0.20805,                0.88943,               0.008548,               0.008548,               0.008548
                     91,                0.39476,                0.24752,                0.93088,                0.99742,                0.98023,                0.99476,                0.89733,                0.52443,                0.20803,                0.88906,              0.0085315,              0.0085315,              0.0085315
                     92,                0.39585,                0.24806,                0.93069,                0.99687,                 0.9797,                0.99475,                0.89772,                 0.5245,                0.20784,                0.88911,               0.008515,               0.008515,               0.008515
                     93,                0.39568,                0.24527,                0.93042,                0.99723,                 0.9797,                0.99475,                0.89797,                 0.5243,                0.20735,                0.88888,              0.0084985,              0.0084985,              0.0084985
                     94,                0.39766,                0.24726,                0.93159,                0.99722,                 0.9797,                0.99474,                0.89754,                0.52429,                0.20754,                0.88874,               0.008482,               0.008482,               0.008482
                     95,                0.39423,                0.24603,                0.93119,                0.99716,                 0.9797,                0.99474,                0.89826,                0.52433,                 0.2077,                0.88875,              0.0084655,              0.0084655,              0.0084655
                     96,                0.39215,                0.24374,                0.93364,                0.99704,                 0.9797,                0.99473,                 0.8982,                0.52418,                 0.2079,                0.88864,               0.008449,               0.008449,               0.008449
                     97,                0.39397,                0.24474,                 0.9289,                0.99672,                 0.9797,                0.99473,                0.89819,                0.52402,                0.20785,                0.88848,              0.0084325,              0.0084325,              0.0084325
                     98,                0.39428,                0.24862,                0.92924,                0.99657,                 0.9797,                0.99473,                0.89839,                0.52421,                0.20816,                0.88841,               0.008416,               0.008416,               0.008416
                     99,                0.39158,                0.24466,                0.92861,                 0.9965,                 0.9797,                0.99473,                0.89851,                0.52436,                0.20863,                0.88835,              0.0083995,              0.0083995,              0.0083995
                    100,                0.39182,                0.24049,                0.92885,                0.99663,                 0.9797,                0.99473,                0.89906,                0.52456,                0.20918,                0.88833,               0.008383,               0.008383,               0.008383
                    101,                0.39048,                0.24585,                0.92901,                0.99677,                0.97943,                0.99473,                0.89869,                0.52466,                0.20994,                0.88831,              0.0083665,              0.0083665,              0.0083665
                    102,                0.39033,                0.24117,                0.92774,                0.99667,                 0.9797,                0.99473,                0.89905,                0.52459,                0.20984,                0.88815,                0.00835,                0.00835,                0.00835
                    103,                0.39395,                0.24437,                0.92759,                0.99647,                 0.9797,                0.99473,                0.89932,                0.52458,                0.20935,                0.88805,              0.0083335,              0.0083335,              0.0083335
                    104,                0.38979,                0.24113,                0.92677,                0.99641,                 0.9797,                0.99472,                0.89977,                0.52442,                0.20896,                0.88792,               0.008317,               0.008317,               0.008317
                    105,                0.39048,                0.24404,                0.92653,                0.99641,                 0.9797,                0.99472,                0.89951,                0.52455,                0.20987,                0.88795,              0.0083005,              0.0083005,              0.0083005
                    106,                0.38666,                0.24256,                0.92421,                0.99636,                 0.9797,                0.99472,                0.89916,                0.52446,                0.21011,                0.88787,               0.008284,               0.008284,               0.008284
                    107,                0.38556,                0.24165,                0.92494,                0.99638,                 0.9797,                0.99472,                0.89891,                0.52442,                0.21001,                0.88763,              0.0082675,              0.0082675,              0.0082675
                    108,                  0.388,                0.24107,                 0.9271,                0.99627,                 0.9797,                0.99474,                  0.899,                0.52421,                0.20928,                 0.8875,               0.008251,               0.008251,               0.008251
                    109,                0.38752,                0.24111,                0.92599,                0.99615,                 0.9797,                0.99472,                0.89944,                0.52411,                0.20853,                0.88723,              0.0082345,              0.0082345,              0.0082345
                    110,                0.38866,                0.24047,                0.92501,                0.99611,                 0.9797,                0.99472,                0.89947,                  0.524,                0.20798,                0.88713,               0.008218,               0.008218,               0.008218
                    111,                0.38989,                0.24098,                 0.9285,                0.99613,                 0.9797,                0.99471,                0.89975,                0.52388,                0.20786,                0.88708,              0.0082015,              0.0082015,              0.0082015
                    112,                0.38613,                0.24247,                0.92655,                0.99609,                 0.9797,                0.99471,                0.89929,                0.52385,                0.20778,                0.88696,               0.008185,               0.008185,               0.008185
                    113,                0.38389,                0.23999,                0.92479,                0.99695,                 0.9797,                0.99472,                0.89963,                 0.5242,                 0.2078,                0.88696,              0.0081685,              0.0081685,              0.0081685
                    114,                0.38707,                0.24192,                0.92606,                0.99699,                 0.9797,                0.99473,                0.90002,                0.52399,                 0.2077,                0.88678,               0.008152,               0.008152,               0.008152
                    115,                0.38333,                0.23763,                0.92686,                0.99687,                 0.9797,                0.99473,                0.89969,                0.52415,                0.20791,                0.88698,              0.0081355,              0.0081355,              0.0081355
                    116,                0.38382,                0.24075,                 0.9245,                0.99656,                 0.9797,                0.99473,                0.90036,                0.52411,                0.20786,                0.88665,               0.008119,               0.008119,               0.008119
                    117,                0.38744,                0.24005,                0.92858,                0.99642,                 0.9797,                0.99473,                0.89988,                0.52392,                 0.2072,                0.88642,              0.0081025,              0.0081025,              0.0081025
                    118,                0.38358,                0.23809,                0.92468,                0.99638,                 0.9797,                0.99472,                0.90011,                0.52364,                0.20744,                0.88605,               0.008086,               0.008086,               0.008086
                    119,                0.38453,                0.23764,                0.92622,                0.99642,                 0.9797,                0.99472,                0.90041,                0.52362,                0.20791,                0.88599,              0.0080695,              0.0080695,              0.0080695
                    120,                0.38404,                0.23791,                0.92454,                0.99661,                 0.9797,                0.99472,                0.90033,                0.52361,                0.20822,                0.88568,               0.008053,               0.008053,               0.008053
                    121,                0.38198,                0.23631,                0.92337,                0.99665,                 0.9797,                0.99472,                0.90045,                0.52353,                0.20798,                 0.8855,              0.0080365,              0.0080365,              0.0080365
                    122,                0.38075,                0.23664,                0.92242,                0.99603,                 0.9797,                0.99472,                0.90043,                0.52366,                0.20815,                0.88546,                0.00802,                0.00802,                0.00802
                    123,                0.38674,                0.23756,                0.92546,                0.99747,                 0.9797,                0.99473,                0.90055,                0.52358,                0.20831,                0.88529,              0.0080035,              0.0080035,              0.0080035
                    124,                0.37905,                0.23764,                0.92399,                 0.9975,                 0.9797,                0.99473,                0.90073,                0.52345,                0.20906,                0.88505,               0.007987,               0.007987,               0.007987
                    125,                0.38386,                0.23795,                0.92254,                0.99633,                 0.9797,                0.99473,                0.90096,                0.52375,                 0.2105,                0.88558,              0.0079705,              0.0079705,              0.0079705
                    126,                 0.3818,                0.23656,                0.92512,                0.99606,                 0.9797,                0.99473,                0.90054,                0.52392,                0.21095,                0.88566,               0.007954,               0.007954,               0.007954
                    127,                0.37864,                0.23467,                0.92458,                0.99565,                 0.9797,                0.99473,                0.90061,                0.52388,                0.21181,                0.88563,              0.0079375,              0.0079375,              0.0079375
                    128,                 0.3784,                0.23591,                0.92222,                0.99557,                 0.9797,                0.99473,                0.90102,                0.52399,                0.21164,                0.88558,               0.007921,               0.007921,               0.007921
                    129,                0.37951,                0.23515,                0.92181,                0.99579,                 0.9797,                0.99473,                0.90057,                0.52411,                0.21056,                0.88547,              0.0079045,              0.0079045,              0.0079045
                    130,                0.38018,                0.23475,                0.92225,                0.99587,                 0.9797,                0.99472,                0.90082,                0.52411,                0.21042,                0.88527,               0.007888,               0.007888,               0.007888
                    131,                 0.3747,                0.23231,                0.91824,                0.99588,                 0.9797,                0.99472,                0.90054,                0.52423,                0.21076,                 0.8853,              0.0078715,              0.0078715,              0.0078715
                    132,                0.37941,                 0.2372,                0.92135,                0.99452,                 0.9797,                0.99472,                0.90099,                0.52449,                0.21048,                0.88527,               0.007855,               0.007855,               0.007855
                    133,                0.37713,                0.23799,                 0.9227,                0.99677,                0.97824,                 0.9947,                0.90134,                0.52481,                0.21043,                0.88534,              0.0078385,              0.0078385,              0.0078385
